0.00303	0.00525	0.00724	0.01060	0.01320	0.01549	0.01786	0.02064	0.02536
0.00372	0.00730	0.01051	0.01414	0.01679	0.01913	0.02158	0.02427	0.02843
0.00321	0.00588	0.00949	0.01333	0.01625	0.01903	0.02202	0.02486	0.02875
0.00366	0.00612	0.00893	0.01280	0.01585	0.01865	0.02146	0.02431	0.02832
0.00428	0.00692	0.00954	0.01289	0.01564	0.01849	0.02152	0.02409	0.02847
0.00347	0.00642	0.01001	0.01393	0.01709	0.02031	0.02354	0.02606	0.02981
0.00328	0.00769	0.01372	0.01823	0.02127	0.02392	0.02641	0.02869	0.03228
0.00216	0.00693	0.01256	0.01719	0.02040	0.02335	0.02624	0.02868	0.03219
0.00095	0.00438	0.01087	0.01592	0.01943	0.02265	0.02566	0.02804	0.03160
0.00076	0.00377	0.00940	0.01444	0.01810	0.02152	0.02492	0.02776	0.03107
0.00156	0.00423	0.01103	0.01624	0.01983	0.02314	0.02626	0.02861	0.03146
0.00112	0.00375	0.01031	0.01607	0.01987	0.02291	0.02563	0.02838	0.03111
0.00055	0.00320	0.01043	0.01679	0.02107	0.02464	0.02782	0.03069	0.03288
0.00065	0.00303	0.00973	0.01509	0.01876	0.02220	0.02569	0.02833	0.03020
0.00069	0.00261	0.00958	0.01481	0.01837	0.02167	0.02486	0.02713	0.02900
0.00080	0.00275	0.00919	0.01412	0.01747	0.02047	0.02311	0.02493	0.02687
0.00067	0.00265	0.01048	0.01545	0.01849	0.02114	0.02363	0.02540	0.02741
0.00065	0.00184	0.00805	0.01224	0.01517	0.01809	0.02066	0.02193	0.02415
0.00124	0.00275	0.01136	0.01686	0.02018	0.02281	0.02471	0.02617	0.02954
0.00087	0.00154	0.00939	0.01546	0.01959	0.02327	0.02624	0.02814	0.03129
0.00069	0.00145	0.01006	0.01659	0.02100	0.02491	0.02798	0.02983	0.03275
0.00052	0.00133	0.01147	0.01827	0.02263	0.02650	0.02976	0.03165	0.03393
0.00086	0.00112	0.01014	0.01658	0.02085	0.02475	0.02812	0.03019	0.03280
0.00068	0.00136	0.01084	0.01794	0.02274	0.02710	0.03069	0.03272	0.03509
