0.00328 0.00769 0.01372 0.01823 0.02127 0.02392 0.02641 0.02869 0.03228
0.00216 0.00693 0.01256 0.01719 0.0204 0.02335 0.02624 0.02868 0.03219
0.00095 0.00438 0.01087 0.01592 0.01943 0.02265 0.02566 0.02804 0.0316
0.00076 0.00377 0.0094 0.01444 0.0181 0.02152 0.02492 0.02776 0.03107
0.00156 0.00423 0.01103 0.01624 0.01983 0.02314 0.02626 0.02861 0.03146
0.00112 0.00375 0.01031 0.01607 0.01987 0.02291 0.02563 0.02838 0.03111
0.00055 0.0032 0.01043 0.01679 0.02107 0.02464 0.02782 0.03069 0.03288
0.00065 0.00303 0.00973 0.01509 0.01876 0.0222 0.02569 0.02833 0.0302
0.00069 0.00261 0.00958 0.01481 0.01837 0.02167 0.02486 0.02713 0.029
0.0008 0.00275 0.00919 0.01412 0.01747 0.02047 0.02311 0.02493 0.02687
0.00067 0.00265 0.01048 0.01545 0.01849 0.02114 0.02363 0.0254 0.02741
0.00065 0.00184 0.00805 0.01224 0.01517 0.01809 0.02066 0.02193 0.02415 
